ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Cadm3,-0.538988702,9.117425244,,0.019673672,0.525034595,
Clasrp,-0.536957492,9.123502652,,0.019658467,0.525034595,
Anapc4,-0.536188071,9.123675108,,0.019658467,0.525034595,
Ino80d,-0.536155793,9.123420077,,0.019658467,0.525034595,
Dlgap4,-0.535676196,9.17391093,,0.014472682,0.486638233,
Amotl1,-0.535351858,9.077661619,,0.023436113,0.555123388,
Klf9,-0.535245987,9.216688901,,0.010313492,0.445062859,
D2Wsu81e,-0.535132569,9.129520888,,0.019578919,0.525034595,
Stk11,-0.534974236,9.173458845,,0.014472682,0.486638233,
Ctu2,-0.53454764,9.023436326,,0.013017418,0.471644056,
Ica1,-0.534377479,9.077386833,,0.023436113,0.555123388,
Igfbp5,-0.534281742,9.02324718,,0.013017418,0.471644056,
Polg,-0.533006977,9.320902575,,0.004813313,0.321889904,
Mlx,-0.532880926,9.084030866,,0.024069634,0.558519709,
Foxj2,-0.532005477,9.023070921,,0.013017417,0.471644056,
Fat1,-0.530060973,9.083719747,,0.024069633,0.558519709,
Junb,-0.529363595,9.135174048,,0.019444059,0.525034595,
Gtf2h2,-0.528817254,9.090305147,,0.024522678,0.558519709,
Midn,-0.528711323,9.3477345,,0.003916746,0.296506305,
Mta1,-0.526634979,9.036693662,,0.020282996,0.525034595,
Pou3f1,-0.525756264,9.251292677,,0.008956818,0.42243683,
Kcna6,-0.525730063,9.036490182,,0.020282996,0.525034595,
Hmox2,-0.524580981,9.209035965,,0.012861265,0.471644056,
Golt1b,-0.523197958,9.15980681,,0.018497719,0.525034595,
Ptprg,-0.521639387,9.159970884,,0.018497719,0.525034595,
Zfp707,-0.521214372,9.043116514,,0.023122978,0.553860269,
Fem1a,-0.521143274,9.050011229,,0.025457823,0.568878276,
Sptlc2,-0.520920005,9.108856933,,0.02502881,0.564021323,
Sgk1,-0.520424678,9.487070451,,0.003283754,0.286252639,
Efs,-0.519657439,9.171929594,,0.01786024,0.525034595,
Kcnh8,-0.519163632,9.05620196,,0.02733685,0.570516335,
Prr36,-0.518839862,9.049665898,,0.025457823,0.568878276,
Ifit1,-0.517426044,9.056230831,,0.027336849,0.570516335,
Ddit4,-0.516470841,9.238046178,,0.011390952,0.461658392,
Gadd45g,-0.515672166,9.055921772,,0.027336849,0.570516335,
Gprc5b,-0.515566313,9.127959026,,0.024633837,0.558663971,
Zcchc11,-0.515485247,9.127755834,,0.024633837,0.558663971,
Eif2s3x,-0.514061515,9.062425008,,0.02881464,0.570516335,
Srr,-0.513660478,9.06239371,,0.02881464,0.570516335,
Zfp652,-0.513320031,9.069252343,,0.029944372,0.570516335,
Ttc8,-0.513137517,9.0690435,,0.029944372,0.570516335,
Fbxo11,-0.512237643,9.139848981,,0.024048546,0.558519709,
Ube2v1,-0.51214664,9.133683597,,0.024366434,0.558519709,
Ndp,-0.51163363,9.069048904,,0.029944372,0.570516335,
Mtx2,-0.510757058,9.139707432,,0.024048546,0.558519709,
