ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Ptma,0.214540431,10.97185203,,0.091914527,0.754277356,
Mycl,-0.267592611,9.803157658,,0.092185454,0.754277356,
C1galt1c1,0.388731847,8.528051503,,0.093573072,0.754277356,
Ppm1l,0.428094781,8.503194613,,0.093733911,0.754277356,
Aldoc,0.397242903,8.445950827,,0.093787248,0.754277356,
Ephb1,0.466454441,8.445591257,,0.093817714,0.754277356,
Rpl13a,0.237364824,10.39439341,,0.094597175,0.754277356,
Slc25a46,0.386926878,8.510136316,,0.094815868,0.754277356,
Hsd17b12,0.35462797,8.76825402,,0.095188565,0.754277356,
Gadd45a,0.444419397,8.466100253,,0.095433117,0.754277356,
Gpm6b,0.267790615,10.12229006,,0.095524147,0.754277356,
Tsc22d4,0.268141169,9.807791328,,0.096148072,0.754277356,
Cldn11,0.390500072,11.4574439,,0.096909441,0.754277356,
Ube2n,0.291520134,9.061319527,,0.097081001,0.754277356,
Bex2,0.29280614,9.483159461,,0.097414294,0.754277356,
Eef1g,0.28081622,9.356770659,,0.097523998,0.754277356,
Srsf11,0.310984926,9.024755131,,0.097913944,0.754277356,
Rpl36a,-0.281286568,9.376956664,,0.098080371,0.754277356,
Rnf115,0.397361589,8.487607264,,0.098212867,0.754277356,
Pbrm1,-0.413832806,8.447826197,,0.098379787,0.754277356,
9530059O14Rik,0.255437315,9.894961875,,0.098788511,0.754277356,
Degs1,0.266406022,9.518369214,,0.098979875,0.754277356,
Arpc5l,0.388663214,8.531045226,,0.098986117,0.754277356,
Uqcrc1,0.327318408,8.87339319,,0.099371761,0.754277356,
Ly6h,0.441070255,8.424003139,,0.099513996,0.754277356,
Psmc4,-0.343321475,8.72720305,,0.099569085,0.754277356,
Psmd7,0.295589594,9.021781821,,0.100189971,0.75529002,
Qk,0.205754768,10.9337849,,0.100624982,0.75529002,
Pafah1b1,0.296109863,9.124522018,,0.101215945,0.75529002,
Tmem14c,0.370583262,8.575767011,,0.101360909,0.755511715,
Tmbim4,0.319315501,8.823980839,,0.102239859,0.757534517,
Sdf4,0.366521609,8.597832926,,0.102260139,0.757534517,
Ttc3,0.359424227,8.655392915,,0.102836169,0.758792551,
Gnb4,0.298444018,9.367274519,,0.103121236,0.758792551,
Klf13,0.370938342,9.005108943,,0.103204203,0.758792551,
0610012G03Rik,0.356175467,8.734200188,,0.103411196,0.758792551,
Arhgap35,0.371545787,8.620259456,,0.103654255,0.758792551,
Rpl22l1,0.27330728,9.463040284,,0.104029452,0.758792551,
Kank1,0.283345833,9.171992781,,0.104124769,0.758792551,
Higd1a,0.358518801,8.716946582,,0.104230401,0.758792551,
Dynlt3,0.36051995,8.704662364,,0.104539275,0.758792551,
Rgcc,-0.402233914,9.154556585,,0.105123043,0.758792551,
Churc1,-0.334369813,8.679687801,,0.105228731,0.758792551,
Mmd2,0.410735703,8.411118853,,0.10674451,0.758792551,
Hnrnpa2b1,0.242702595,9.605438403,,0.106780742,0.758792551,
Rps15,0.243782423,9.83396082,,0.106797419,0.758792551,
Ech1,0.397593897,8.455113675,,0.107057832,0.759387122,
Tmeff1,0.405318223,8.52356694,,0.107384403,0.759387122,
Golga7,0.26589494,9.697346149,,0.108756397,0.764881072,
Dnajc19,-0.361486227,8.558410037,,0.109128949,0.766325875,
Gnb1,0.30589107,9.782484745,,0.109950216,0.769612934,
Pgam1,0.287721215,9.090057054,,0.110108724,0.769612934,
Auts2,0.472769776,8.408081437,,0.110138838,0.769612934,
Abhd17b,0.299092488,9.119039581,,0.110236897,0.769612934,
Tia1,-0.329569052,8.879623349,,0.110268389,0.769612934,
Kif5b,0.337216337,8.80612453,,0.112078377,0.770307507,
Plekhb1,0.315888698,9.04482843,,0.112180121,0.770307507,
Slc25a4,0.213930703,10.23239877,,0.1124013,0.770307507,
Pigyl,-0.302288169,8.958942284,,0.112591677,0.770307507,
Rps11,0.216104681,10.26744964,,0.113375303,0.770307507,
Tubb4a,0.25087219,11.09470246,,0.113580935,0.770307507,
Msmo1,0.377649461,8.953365276,,0.113612531,0.770307507,
Tubb4b,0.326715126,9.020659811,,0.114063635,0.770307507,
BC031181,0.256194344,9.483975434,,0.115376691,0.7723501,
Hnrnph2,0.329988772,8.69701552,,0.115735041,0.773271541,
Mt3,0.38306057,8.468321871,,0.116002231,0.7742769,
Nars,0.365445238,8.567305016,,0.117815862,0.776965127,
Tspan7,0.370692237,8.488018145,,0.118006204,0.776965127,
Eif1b,0.234020263,9.719814489,,0.118346165,0.776965127,
Rpl26,0.218095844,10.16000074,,0.119721981,0.778374741,
Ank3,0.372310278,8.696571409,,0.120145096,0.778374741,
Bcan,0.259408149,10.37189917,,0.120181589,0.778374741,
