ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tmem147,-0.380230992,8.863044061,,0.000327604,0.031951579,
Kdelr2,-0.539242197,8.409105073,,0.000336933,0.032573162,
Cirbp,-0.357932196,9.113086163,,0.000351457,0.033391426,
Rbm3,-0.38112065,8.915767285,,0.000377617,0.03526881,
Fkbp4,0.3711166,8.959974211,,0.000386247,0.035771484,
Prpf4b,0.463959504,8.591597857,,0.000389491,0.035771484,
Itch,0.428369079,8.691349876,,0.000419642,0.037314422,
Hmgn1,0.457941778,8.595877462,,0.000419834,0.037314422,
Jun,0.411028104,8.927242469,,0.000501541,0.043868952,
Rpl6l,-0.412432282,8.679382798,,0.000619991,0.052968399,
Ugt8a,0.241874189,10.29179243,,0.000636656,0.053973696,
Zdhhc12,-0.497727253,8.437550252,,0.000664619,0.055073432,
Ankrd13a,-0.432695751,8.605676792,,0.000690329,0.056356453,
Pigz,-0.343742171,8.969146057,,0.000720246,0.058072065,
Cyp2j6,-0.51056027,8.426310944,,0.000764627,0.06106492,
Coro1c,-0.432499328,8.574739526,,0.000783886,0.062152565,
Ankub1,-0.482326444,8.472065927,,0.000812119,0.063931189,
Stmn1,0.148203297,11.54419541,,0.000857575,0.067030743,
Mphosph6,-0.466924442,8.487352916,,0.000880823,0.068036118,
Itih3,0.448264832,8.796028999,,0.000894329,0.068447198,
Gsto1,0.462810304,8.463781622,,0.000921182,0.070016218,
Ahsa1,0.322751489,9.017258343,,0.000932118,0.07036214,
Il18,-0.421351177,8.591572818,,0.000945251,0.070868078,
Rnpep,-0.429414344,8.592410452,,0.000956421,0.071221078,
Rtn1,0.315317753,9.135717114,,0.00099759,0.073788199,
Srsf10,0.427387575,8.572664845,,0.001061283,0.076949993,
Bptf,0.426752213,8.578072701,,0.001098714,0.078629418,
Apbb1,0.274791685,9.443115326,,0.001135098,0.080574516,
Pik3r1,-0.321040003,9.04249271,,0.001140516,0.080574516,
Rab3a,0.376996581,8.823303899,,0.001166871,0.081392934,
Nrbp2,-0.387937425,8.678744343,,0.001238355,0.084578164,
Dusp3,-0.40998494,8.796620629,,0.001258703,0.085105325,
Ttll7,0.192730786,10.1843097,,0.001282236,0.085179375,
Bfsp2,0.463551083,8.582500552,,0.001284383,0.085179375,
Itgb8,-0.458903969,8.471445892,,0.0013595,0.088135589,
Ywhah,0.34244325,8.953699298,,0.001406801,0.08976619,
Rab9,0.401818207,8.604277177,,0.001526645,0.096481119,
Sptlc1,-0.462794623,8.444888882,,0.001532002,0.096481119,
